12
30
2.86 7.15 7.87 8.39 7.86 7.28 6.86
6.84 6.90 6.91 5.79 7.40 6.74 5.99
6.01 6.01 6.03 7.61 7.19 6.58 2.81
5.03 6.11 6.22 8.43 7.81 7.32 6.36
6.55 6.53
31
6.70 8.10 8.57 7.70 6.59 5.96 7.02
7.34 8.83 8.59 7.73 7.04 7.02 7.66
7.52 9.39 9.86 4.53 3.59 3.51 3.48
4.40 6.65 8.68 3.71 3.33 8.18 6.31
2.66 8.36 7.97
30 
3.00 5.54 5.55 6.51 6.66 8.56 8.24
3.39 7.99 7.42 9.08 8.31 8.60 7.31
3.71 6.90 6.49 6.07 6.36 7.56 7.98
7.81 5.84 6.51 6.89 4.06 4.07 4.19
6.62 6.17
31
4.59 6.36 7.19 7.41 8.61 4.33 3.52
6.18 5.72 4.13 9.94 2.26 4.37 6.92
7.95 6.87 7.59 4.01 7.87 7.90 4.85
3.58 6.35 3.56 1.47 3.58 3.96 4.27
7.18 5.55 4.12
31
1.75 4.04 3.96 3.35 3.31 3.35 2.78
4.51 2.16 5.49 5.55 2.14 3.08 6.07
7.36 2.58 9.42 9.74 5.22 3.37 3.09
4.16 3.55 6.31 3.34 7.47 4.02 4.14
5.29 5.97 3.94
29
8.58 8.09 9.66 5.08 3.54 0.71 6.76
5.53 5.29 5.67 5.53 6.51 6.53 6.56
6.56 7.01 6.53 6.57 7.40 1.19 0.00
4.10 8.08 0.00 4.44 5.01 9.20 11.56
6.68
31
6.48 6.59 6.61 6.65 3.02 5.06 5.09
7.66 8.04 6.09 4.23 3.96 6.27 6.42
7.39 3.71 7.59 6.26 3.29 4.84 5.30
1.64 1.51 3.69 5.50 5.53 6.14 7.77
8.98 9.28 6.87
30
6.32 4.52 7.15 5.02 4.54 5.28 6.42
6.11 6.65 4.12 4.89 0.00 1.50 6.41
0.00 1.12 0.00 0.00 1.73 0.00 6.12
3.05 7.08 0.00 3.03 7.94 4.25 3.64
8.65 0.00
31
0.00 3.62 5.36 5.03 5.31 5.06 5.67
5.04 4.15 4.17 6.95 6.23 5.03 2.13
6.32 6.96 6.22 4.50 4.48 8.45 5.67
6.57 6.14 4.64 6.41 6.43 4.15 0.00
6.49 6.38 6.80
30
6.44 6.44 5.05 6.59 6.55 4.74 4.58
4.72 3.55 8.27 3.55 7.53 5.17 8.07
7.92 6.06 7.36 6.96 7.01 8.53 6.28
6.94 6.22 5.63 7.34 7.83 6.05 9.91
3.87 4.99
31
0.00 1.47 7.24 0.00 1.34 0.00 0.00
1.89 0.00 8.02 4.12 9.13 0.00 4.21
8.26 5.44 3.31 12.72 0.00 0.00 4.45
7.13 7.09 5.04 6.07 4.93 7.01 3.49
4.04 5.84 5.11
31
6.14 2.47 6.19 8.49 5.47 5.27 5.06
11.41 7.09 5.19 4.85 4.36 6.03 6.43
4.11 0.00 5.26 8.80 9.45 6.31 9.66
7.47 5.07 8.97 4.65 6.60 3.54 2.66
11.08 5.01 8.58
